0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0,30,0,30
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0,30,0,30
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
0,30,0,30
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0,30,0,30
0,30,0,30
-0.111111,25,0.111111,34
0,30,0,30
-0.166667,24,0.166667,35
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
-0.111111,25,0.111111,34
0,30,0,30
-0.111111,25,0.111111,34
-0.0555556,27,0.0555556,32
0,30,0,30
0,30,0,30
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.166667,24,0.166667,35
-0.0555556,27,0.0555556,32
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0,30,0,30
0,30,0,30
0,30,0,30
-0.166667,24,0.166667,35
0,30,0,30
-0.0555556,27,0.0555556,32
0,30,0,30
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.0555556,27,0.0555556,32
-0.111111,25,0.111111,34
-0.166667,24,0.166667,35
-0.0555556,27,0.0555556,32
-0.0555556,27,0.0555556,32
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
-0.111111,25,0.111111,34
-0.166667,24,0.166667,35
-0.0555556,27,0.0555556,32
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
-0.166667,24,0.166667,35
-0.166667,24,0.166667,35
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
-0.111111,25,0.111111,34
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
-0.111111,25,0.111111,34
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0,30,0,30
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0,30,0,30
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
0.0555556,32,-0.0555556,27
